URL,Perceptual_similarity,Text_similarity,TesturlAtSymbol,TesturlDasheSymbol,TesturlDotSymbol,TestGoodCheckpwdCreditcard,TestGoodMatchDomainTitle,TestGoodRP,TestIPAdress,TestGoodurLength,y
http://sat1gold.de,12,4,1,1,1,1,1,-1,1,1,1
http://imagineersystems.com,3,-2,1,1,1,-1,-1,-1,1,1,1
http://workplacefairness.org,11,-2,1,1,1,1,1,-1,1,1,1
http://google.com,-7,3,1,1,1,-1,1,1,1,1,1
http://youtube.com,5,2,1,1,1,-1,-1,1,1,1,1
http://facebook.com,13,-1,1,1,1,-1,1,-1,1,1,1
http://wikipedia.org,1,-2,1,1,1,1,-1,-1,1,1,1
http://yahoo.com,-2,1,1,1,1,1,1,-1,1,1,1
http://taobao.com,5,0,1,1,1,1,-1,1,1,1,1
http://twitter.com,5,0,1,1,1,-1,-1,-1,1,1,1
http://tmall.com,0,3,1,1,1,1,1,1,1,1,1
http://vk.com,0,-2,1,1,1,-1,1,1,1,1,1
http://instagram.com,0,-2,1,1,1,1,1,1,1,1,1
http://sohu.com,2,2,1,1,1,1,-1,-1,1,1,1
http://sina.com.cn,0,0,1,1,1,1,-1,-1,1,1,1
http://jd.com,5,-1,1,1,1,1,-1,1,1,1,1
http://360.cn,-1,-6,1,1,1,1,-1,-1,1,1,1
http://list.tmall.com,0,2,1,1,1,1,1,1,1,1,1
http://yandex.ru,-3,-3,1,1,1,1,-1,1,1,1,1
http://netflix.com,11,2,1,1,1,1,-1,-1,1,1,1
http://t.co,-1,2,1,1,1,-1,-1,-1,1,1,1
http://pornhub.com,-4,2,1,1,1,-1,-1,-1,1,1,1
http://imgur.com,28,3,1,1,1,1,-1,1,1,1,1
http://bing.com,4,3,1,1,1,1,-1,-1,1,1,1
http://onclkds.com,-8,-53,1,1,1,1,-1,-1,1,1,1
http://twitch.tv,1,-2,1,1,1,1,-1,1,1,1,1
http://livejasmin.com,12,2,1,1,1,-1,1,-1,1,1,1
http://xvideos.com,-2,-3,1,1,1,-1,1,-1,1,1,1
http://mail.ru,1,3,1,1,1,-1,1,-1,1,1,1
http://microsoft.com,0,1,1,1,1,1,1,-1,1,1,1
http://ok.ru,3,3,1,1,1,-1,1,-1,1,1,1
http://aliexpress.com,2,1,1,1,1,1,-1,-1,1,1,1
http://wordpress.com,2,-1,1,1,1,1,-1,-1,1,1,1
http://stackoverflow.com,3,-6,1,1,1,1,1,-1,1,1,1
http://imdb.com,0,-2,1,1,1,1,1,-1,1,1,1
http://github.com,-3,2,1,1,1,-1,1,-1,1,1,1
http://blogspot.com,-18,0,1,1,1,1,-1,-1,1,1,1
http://pinterest.com,0,-1,1,1,1,1,1,1,1,1,1
http://csdn.net,8,1,1,1,1,1,-1,-1,1,1,1
http://wikia.com,1,-1,1,1,1,1,-1,-1,1,1,1
http://apple.com,14,1,1,1,1,1,-1,-1,1,1,1
http://popads.net,8,-3,1,1,1,-1,1,1,1,1,1
http://office.com,1,0,1,1,1,1,-1,-1,1,1,1
http://bongacams.com,30,2,1,1,1,-1,-1,1,1,1,1
http://paypal.com,-1,-1,1,1,1,1,1,-1,1,1,1
http://whatsapp.com,1,-5,1,1,1,1,1,1,1,1,1
http://xhamster.com,4,-5,1,1,1,-1,1,-1,1,1,1
http://detail.tmall.com,0,1,1,1,1,1,-1,1,1,1,1
http://diply.com,18,-3,1,1,1,1,-1,-1,1,1,1
http://adobe.com,-8,-1,1,1,1,1,1,-1,1,1,1
http://coccoc.com,-1,2,1,1,1,1,-1,-1,1,1,1
http://craigslist.org,30,5,1,1,1,1,1,-1,1,1,1
http://nicovideo.jp,1,0,1,1,1,1,-1,-1,1,1,1
http://txxx.com,-9,1,1,1,1,-1,1,-1,1,1,1     
http://dropbox.com,0,-2,1,1,1,1,1,-1,1,1,1
http://amazon.de,7,1,1,1,1,1,-1,-1,1,1,1
http://booking.com,-3,0,1,1,1,1,1,-1,1,1,1
http://thepiratebay.org,1,1,1,1,1,1,-1,1,1,1,1
http://pixnet.net,31,-2,1,1,1,1,-1,1,1,1,1
http://china.com,-2,-1,1,1,1,1,-1,-1,1,1,1
http://bbc.co.uk,-1,7,1,1,1,1,1,-1,1,1,1
http://savefrom.net,-1,2,1,1,1,1,-1,-1,1,1,1
http://fc2.com,5,0,1,1,1,1,1,-1,1,1,1
http://mozilla.org,0,-4,1,1,1,1,-1,-1,1,1,1
http://rakuten.co.jp,4,-1,1,1,1,1,-1,-1,1,1,1
http://uptodown.com,0,3,1,1,1,1,-1,-1,1,1,1
http://cnn.com,4,1,1,1,1,1,1,-1,1,1,1
http://so.com,13,0,1,1,1,1,-1,1,1,1,1
http://soundcloud.com,-4,2,1,1,1,-1,1,-1,1,1,1
http://quora.com,0,1,1,1,1,-1,1,-1,1,1,1
http://ask.com,0,-6,1,1,1,1,1,-1,1,1,1
http://espn.com,0,-2,1,1,1,1,1,-1,1,1,1
http://fbcdn.net,1,0,1,1,1,-1,-1,-1,1,1,1
http://stackexchange.com,3,1,1,1,1,1,1,-1,1,1,1
http://blogger.com,0,0,1,1,1,1,1,-1,1,1,1
http://chase.com,2,2,1,1,1,1,1,-1,1,1,1
http://ebay.de,1,4,1,1,1,1,1,-1,1,1,1
http://theguardian.com,-1,2,1,1,1,1,1,-1,1,1,1
http://blastingnews.com,4,-2,1,1,1,1,1,-1,1,1,1
http://ask.com,0,-6,1,1,1,1,1,-1,1,1,1
http://xnxx.com,-25,0,1,1,1,1,1,-1,1,1,1
http://nytimes.com,-29,-1,1,1,1,1,-1,-1,1,1,1
http://naver.com,6,1,1,1,1,1,-1,-1,1,1,1
http://adf.ly,-10,1,1,1,1,-1,1,-1,1,1,1
http://dailymotion.com,30,-2,1,1,1,1,-1,1,1,1,1
http://onlinesbi.com,32,3,1,1,1,1,-1,-1,1,1,1
http://steamcommunity.com,-1,1,1,1,1,1,-1,-1,1,1,1
http://salesforce.com,-5,0,1,1,1,-1,1,-1,1,1,1
http://espn.com,0,-2,1,1,1,1,1,-1,1,1,1
http://stackexchange.com,3,1,1,1,1,1,1,-1,1,1,1
http://blogger.com,0,0,1,1,1,1,1,-1,1,1,1
http://chase.com,2,2,1,1,1,1,1,-1,1,1,1
http://vimeo.com,2,0,1,1,1,1,-1,1,1,1,1
http://wufafuwu.com,-2,-3,1,1,1,1,-1,1,1,1,1
http://tucsonstorefixtures.com,10,2,1,1,1,1,-1,1,1,1,1
http://authentica.ru,3,0,1,1,1,-1,1,-1,1,1,1
http://albel.intnet.mu/File/download_doc.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&amp;userid_JeHJOXK0IDw_JOXK0IDD&amp;userid=,26,-52,1,1,1,-1,-1,1,1,-1,-1
http://smallislandent.com/mboc/wp-content/themes/newstoday/images/bill.aol.com.php,0,0,1,1,1,-1,-1,1,1,-1,-1
